Trinity geneIDD	Automated name	Manually-curated name
c104225_g2	c104225-g2 2-to-3 VAV3,VAV2,VAV1 vav guanine nucleotide exchange factor 3	Vav1/2/3 B Vav guanine nucleotide exchange factor
c104226_g1	c104226-g1 1-to-1 EP400 E1A binding protein p400	NA
c104226_g2	c104226-g1 1-to-1 EP400 E1A binding protein p400	NA
c104227_g1	c104227-g1	NA
c104227_g2	c104227-g2	NA
c104227_g3	c104227-g3 NVD (Rieske [2Fe-2S] domain) - emapper OG	NA
c104227_g4	c104227-g3 NVD (Rieske [2Fe-2S] domain) - emapper OG	NA
c104228_g1	c102618-g1 1-to-2 PDE8B,PDE8A phosphodiesterase 8B	NA
c104228_g2	c102618-g1 1-to-2 PDE8B,PDE8A phosphodiesterase 8B	NA
c104228_g3	c101265-g1 NUP153 (nucleoporin 153kDa) - emapper OG	NA
c104229_g1	c104229-g1 2-to-2 SPTA1,SPTAN1 spectrin alpha, erythrocytic 1	NA
c104229_g2	c104229-g1 2-to-2 SPTA1,SPTAN1 spectrin alpha, erythrocytic 1	NA
c104229_g3	c104229-g1 2-to-2 SPTA1,SPTAN1 spectrin alpha, erythrocytic 1	NA
c104229_g4	c104229-g4	NA
c104230_g1	c102832-g1 2-to-3 STAB1,POSTN,TGFBI stabilin 1	NA
c104231_g1	c104231-g1 1-to-4 DDX25,DDX19B,DDX19A,AC012184.2 DEAD-box helicase 25	NA
c104232_g1	c104232-g1 1-to-3 MTA2,MTA1,MTA3 metastasis associated 1 family member 2	NA
c104233_g1	c104233-g1 1-to-1 VPS11 VPS11, CORVET/HOPS core subunit	NA
c104233_g2	c104233-g2	NA
c104234_g1	c104234-g1 (Ankyrin repeat protein) - emapper OG	NA
c104235_g1	c104235-g1	NA
c104235_g2	c104235-g2	NA
c104235_g3	c104235-g3	NA
c104235_g4	c104235-g4	NA
c104236_g1	c104236-g1 1-to-3 RASGEF1B,RASGEF1A,RASGEF1C RasGEF domain family member 1B	NA
c104236_g2	c101628-g1 1-to-1 PARP2 poly(ADP-ribose) polymerase 2	NA
c104236_g3	c104236-g3	NA
c104236_g4	c104236-g4	NA
c104236_g5	c104236-g5 ADAM10 (ADAM metallopeptidase domain 10) - emapper OG	NA
c104237_g1	c104237-g1 1-to-1 ACMSD aminocarboxymuconate semialdehyde decarboxylase	NA
c104237_g2	c104237-g1 1-to-1 ACMSD aminocarboxymuconate semialdehyde decarboxylase	NA
c104237_g3	c104237-g3 SWAP70 (SWAP switching B-cell complex 70kDa subunit) - emapper OG	NA
c104238_g1	c104238-g1 MAX (MYC associated factor X) - emapper OG	Max Myc associated factor x
c104239_g1	c104239-g1 FNIP1 (folliculin interacting protein) - emapper OG	NA
c104239_g2	c104239-g2 TXNRD3 (thioredoxin reductase) - emapper OG	NA
c104240_g1	c104240-g1 (PHD finger protein) - emapper OG	NA
c104241_g1	c104241-g1 1-to-1 SMCR8 Smith-Magenis syndrome chromosome region, candidate 8	NA
c104241_g2	c104241-g2 1-to-1 ERI3 ERI1 exoribonuclease family member 3	Eri3 Exoribonuclease 3
c104242_g1	c104242-g1 SAMD4B (sterile alpha motif domain containing) - emapper OG	NA
c104243_g1	c104243-g1	NA
c104243_g2	c104243-g2	NA
c104243_g3	c104243-g2	NA
c104243_g4	c104243-g4	NA
c104244_g1	c104244-g1 1-to-3 CLCN3,CLCN5,CLCN4 chloride voltage-gated channel 3	Clcn3/4/5 Chloride voltage-gated channel
c104244_g2	c104244-g1 1-to-3 CLCN3,CLCN5,CLCN4 chloride voltage-gated channel 3	Clcn3/4/5 Chloride voltage-gated channel
c104244_g3	c104244-g3	NA
c104244_g4	c104244-g4 SOS2 (Son of sevenless homolog) - emapper OG	NA
c104245_g1	c104245-g1 MLT-7 (Peroxidasin homolog) - emapper OG	NA
c104245_g2	c104245-g1 MLT-7 (Peroxidasin homolog) - emapper OG	NA
c104246_g1	c104246-g1	NA
c104246_g2	c104246-g2 1-to-1 RASA1 RAS p21 protein activator 1	NA
c104247_g1	c104247-g1 BZRAP1 (RIMS binding protein) - emapper OG	NA
c104247_g2	c104247-g1 BZRAP1 (RIMS binding protein) - emapper OG	NA
c104248_g1	c104248-g1 1-to-1 WDR19 WD repeat domain 19	NA
c104249_g1	c104249-g1 (Kin of IRRE like) - emapper OG	NA
c104250_g1	c104250-g1 LRP2 (low density lipoprotein receptor-related protein 2) - emapper OG	NA
c104250_g2	c104250-g2	NA
c104250_g3	c104250-g3 (beta-amyloid clearance) - emapper OG	NA
c104250_g4	c104250-g4	NA
c104251_g1	c104251-g1	NA
c104251_g2	c104251-g2	NA
c104251_g3	c104251-g3	NA
c104251_g4	c104251-g4	NA
c104252_g1	c104252-g1 CAPN9 (calpain 2, (m II) large subunit) - emapper OG	Capn1/2/3/8/9/11/12 Calpain
c104253_g1	c104253-g1 1-to-1 UNK unkempt family zinc finger	NA
c104254_g1	c104254-g1 SEC11C (SEC11 homolog A (S. cerevisiae)) - emapper OG	Sec11A/C signal peptidase complex subunit
c104254_g2	c104254-g2 1-to-1 GDA guanine deaminase	NA
c104255_g1	c104255-g1 1-to-1 DNMT1 DNA methyltransferase 1	NA
c104256_g1	c103133-g1 1-to-1 YAE1D1 Yae1 domain containing 1	NA
c104257_g1	c104257-g1 1-to-1 EPG5 ectopic P-granules autophagy protein 5 homolog	NA
c104257_g2	c104257-g2 DEPTOR (DEP domain containing MTOR-interacting protein) - blastp	NA
c104258_g1	c104258-g1 B4GALNT4 (beta-1,4-N-acetyl-galactosaminyl transferase 4) - blastp	NA
c104259_g1	c104259-g1 (S-TKc) - emapper OG	NA
c104259_g2	c104259-g1 (S-TKc) - emapper OG	NA
c104259_g3	c104259-g3	NA
c104260_g1	c104260-g1 1-to-1 INO80 INO80 complex subunit	NA
c104261_g1	c104261-g1 1-to-1 CCDC22 coiled-coil domain containing 22	NA
c104261_g2	c104261-g2 REN (cathepsin) - emapper OG	NA
c104262_g1	c104262-g1 ((ABC) transporter) - emapper OG	NA
c104263_g1	c104263-g1	NA
c104263_g2	c104263-g2	NA
c104264_g1	c104264-g1 (Inherit from opiNOG: Serine protease) - emapper OG	NA
c104265_g1	c104265-g1	NA
c104265_g2	c104265-g2	NA
c104265_g3	c104265-g3	NA
c104265_g4	c104265-g4	NA
c104265_g5	c104265-g5	NA
c104265_g6	c104265-g6	NA
c104266_g1	c104266-g1	NA
c104266_g2	c104266-g2	NA
c104266_g3	c103871-g3 YBIA (Swarming motility protein YbiA) - emapper OG	NA
c104266_g4	c104266-g4	NA
c104266_g5	c104266-g5	NA
c104267_g1	c104267-g1	NA
c104267_g2	c104267-g2 (chitin synthase) - emapper OG	NA
c104267_g3	c104267-g3 (chitin synthase) - emapper OG	NA
c104267_g4	c102134-g3 (chitin synthase) - emapper OG	NA
c104267_g5	c104267-g5 CASKIN2 (CASK interacting protein 2) - blastp	NA
c104268_g1	c104268-g1 1-to-2 GSPT2,GSPT1 G1 to S phase transition 2	NA
c104269_g1	c104269-g1 1-to-2 TUBA3D,TUBA3C tubulin alpha 3d	NA
c104269_g2	c104269-g2 TUBA4A (Tubulin is the major constituent of microtubules. It binds two moles of GTP, one at an exch	NA
c104269_g3	c104269-g3	NA
c104269_g4	c104269-g4 1-to-3 TUBA3E,TUBA3D,TUBA3C tubulin alpha 3e	NA
c104270_g1	c104270-g1 RNF10 (Ring finger protein 10) - emapper OG	NA
c104271_g1	c102495-g1 RTL1 (retrotransposon-like 1) - blastp	NA
c104271_g2	c104271-g2	NA
c104271_g3	c104271-g3	NA
c104271_g4	c104271-g4	NA
c104271_g5	c104271-g5 (Reverse transcriptase (RNA-dependent DNA polymerase)) - emapper OG	NA
c104271_g6	c104271-g6	NA
c104272_g1	c104272-g1	NA
c104272_g2	c104272-g2	NA
c104273_g1	c104273-g1 1-to-1 VPS16 VPS16, CORVET/HOPS core subunit	NA
c104274_g1	c104274-g1 13-to-1 CYP46A1 cytochrome P450 family 46 subfamily A member 1	NA
c104274_g2	c104274-g2	NA
c104275_g1	c104275-g1 (morphogenesis of an epithelium) - emapper OG	NA
c104275_g2	c104275-g2 (morphogenesis of an epithelium) - emapper OG	NA
c104275_g3	c104275-g3 (morphogenesis of an epithelium) - emapper OG	NA
c104275_g4	c104275-g4 (morphogenesis of an epithelium) - emapper OG	NA
c104275_g5	c104275-g5 (morphogenesis of an epithelium) - emapper OG	NA
c104275_g6	c104275-g6 (morphogenesis of an epithelium) - emapper OG	NA
c104275_g7	c104275-g7	NA
c104276_g1	c104276-g1	NA
c104276_g2	c104276-g2	NA
c104276_g3	c104276-g3	NA
c104277_g1	c104277-g1 1-to-1 EPC1 enhancer of polycomb homolog 1	NA
c104278_g1	c104278-g1 1-to-2 TTC39A,TTC39B tetratricopeptide repeat domain 39A	NA
c104279_g1	c104279-g1 4-to-3 EPHA3,EPHB1,EPHA5 EPH receptor A3	EphA/B E Ephrin Receptor
c104279_g2	c104279-g2 (Inherit from KOG: Eph receptor) - emapper OG	NA
c104279_g3	c104279-g1 4-to-3 EPHA3,EPHB1,EPHA5 EPH receptor A3	EphA/B E Ephrin Receptor
c104279_g4	c104279-g4 (Inherit from KOG: Eph receptor) - emapper OG	EphA/B J Ephrin Receptor
c10428_g1	c10428-g1	NA
c104280_g1	c104280-g1	NA
c104280_g2	c104280-g2 (immunoglobulin superfamily DCC subclass member 3-like) - emapper OG	NA
c104280_g3	c104280-g3 CAMK2G (calcium calmodulin-dependent protein kinase II) - emapper OG	Camk2A/B/D/G A Calcium/calmodulin dependent protein kinase II
c104280_g4	c104280-g4 1-to-1 BRSK2 BR serine/threonine kinase 2	NA
c104280_g5	c104280-g3 CAMK2G (calcium calmodulin-dependent protein kinase II) - emapper OG	Camk2A/B/D/G A Calcium/calmodulin dependent protein kinase II
c104281_g1	c104281-g1 1-to-1 HID1 HID1 domain containing	Hid1
c104282_g1	c104282-g1	NA
c104282_g2	c104282-g2	NA
c104282_g3	c104282-g3 3-to-1 ANXA7 annexin A7	NA
c104282_g4	c104282-g4 3-to-1 ANXA7 annexin A7	NA
c104282_g5	c104282-g5 ANXA7 (annexin A11) - emapper OG	NA
c104282_g6	c104282-g6 4-to-1 ANXA7 annexin A7	NA
c104283_g1	c104283-g1 1-to-1 PGAP3 post-GPI attachment to proteins 3	NA
c104283_g2	c104283-g2 1-to-2 USP32,USP6 ubiquitin specific peptidase 32	NA
c104283_g3	c104283-g2 1-to-2 USP32,USP6 ubiquitin specific peptidase 32	NA
c104283_g4	c104283-g4 ZCCHC8 (zinc finger, CCHC domain containing 8) - emapper OG	NA
c104284_g1	c104284-g1	NA
c104284_g2	c104284-g2 1-to-1 ZZEF1 zinc finger ZZ-type and EF-hand domain containing 1	NA
c104285_g1	c104285-g1 LAP-2 (Aminopeptidase) - emapper OG	NA
c104286_g1	c104286-g1	NA
c104286_g2	c104286-g2 (SPOC domain) - emapper OG	NA
c104286_g3	c104286-g3 SPEN (SPOC domain) - emapper OG	NA
c104286_g4	c100778-g1 1-to-1 CLUAP1 clusterin associated protein 1	NA
c104287_g1	c104287-g1	NA
c104287_g2	c104287-g2	NA
c104287_g3	c104287-g3 HELZ (Helicase with zinc finger) - emapper OG	NA
c104287_g4	c104287-g4	NA
c104287_g5	c104287-g5	NA
c104287_g6	c104287-g6	NA
c104288_g1	c101241-g1 1-to-2 DGKI,DGKZ diacylglycerol kinase iota	NA
c104289_g1	c104289-g1 (Ankyrin Repeat) - emapper OG	NA
c104289_g2	c104289-g2 (Ankyrin Repeat) - emapper OG	NA
c104289_g3	c104289-g3	NA
c104290_g1	c104290-g1	NA
c104290_g2	c104290-g2 (Inherit from COG: epimerase dehydratase) - emapper OG	NA
c104290_g3	c104290-g3 (latent transforming growth factor beta binding protein 2) - emapper OG	NA
c104290_g4	c104290-g4 (Inherit from COG: epimerase dehydratase) - emapper OG	NA
c104291_g1	c104291-g1 1-to-1 DDRGK1 DDRGK domain containing 1	NA
c104291_g2	c104291-g2	NA
c104291_g3	c104291-g3	NA
c104291_g4	c104291-g4	NA
c104292_g1	c104292-g1 1-to-1 KDM3A lysine demethylase 3A	NA
c104292_g2	c104292-g2	NA
c104293_g1	c104293-g1 2-to-1 SIAE sialic acid acetylesterase	NA
c104293_g2	c104293-g2	NA
c104294_g1	c104294-g1	NA
c104294_g2	c104294-g2	NA
c104294_g3	c104294-g3	NA
c104294_g4	c104294-g4	NA
c104295_g1	c104295-g1	NA
c104295_g2	c104295-g2	NA
c104295_g3	c103109-g1 2-to-1 IGSF9 immunoglobulin superfamily member 9	NA
c104295_g4	c104295-g4	NA
c104296_g1	c104296-g1 1-to-2 KCTD3,SHKBP1 potassium channel tetramerization domain containing 3	NA
c104296_g2	c104296-g2 (Inherit from KOG: fucosidase, alpha-L) - emapper OG	NA
c104297_g1	c104297-g1 2-to-1 HPS1 HPS1, biogenesis of lysosomal organelles complex 3 subunit 1	NA
c104298_g1	c102965-g1 1-to-5 ARHGEF18,AKAP13,ARHGEF2,ARHGEF28 Rho/Rac guanine nucleotide exchange factor 18	NA
c104299_g1	c104299-g1 (scavenger receptor cysteine rich domain containing) - emapper OG	NA
c104299_g2	c104299-g2	NA
c104300_g1	c104300-g1	NA
c104300_g2	c104300-g2	NA
c104300_g3	c104300-g3	NA
c104301_g1	c104301-g1	NA
c104301_g2	c104301-g2 1-to-1 COQ7 coenzyme Q7, hydroxylase	NA
c104301_g3	c104301-g3	NA
c104301_g4	c104301-g4 2-to-3 ACP2,ACP4,ACPP acid phosphatase 2, lysosomal	NA
c104302_g1	c104302-g1 2-to-2 ARHGAP5,ARHGAP35 Rho GTPase activating protein 5	NA
c104302_g2	c104302-g1 2-to-2 ARHGAP5,ARHGAP35 Rho GTPase activating protein 5	NA
c104302_g3	c104302-g1 2-to-2 ARHGAP5,ARHGAP35 Rho GTPase activating protein 5	NA
c104303_g1	c104303-g1 1-to-1 C9orf135 chromosome 9 open reading frame 135	NA
c104303_g2	c104303-g2 1-to-3 PLOD1,PLOD3,PLOD2 procollagen-lysine,2-oxoglutarate 5-dioxygenase 1	Plod1/2/3 Procollagen-lysine, 2-oxoglurate 5-dioxygenase
c104304_g1	c104304-g1 2-to-3 ALDH2,ALDH1B1,AC002996.1 aldehyde dehydrogenase 2 family (mitochondrial)	NA
c104305_g1	c104305-g1 1-to-1 ATPAF2 ATP synthase mitochondrial F1 complex assembly factor 2	NA
c104305_g2	c104305-g2	NA
c104305_g3	c104305-g3	NA
c104305_g4	c104305-g4	NA
c104306_g1	c104306-g1	NA
c104306_g2	c104306-g2	NA
c104306_g3	c104306-g3	NA
c104306_g4	c104306-g4	NA
c104306_g5	c104306-g5	NA
c104306_g6	c104306-g6	NA
c104307_g1	c104307-g1	NA
c104307_g2	c104307-g2 1-to-1 TECPR2 tectonin beta-propeller repeat containing 2	NA
c104307_g3	c104307-g2 1-to-1 TECPR2 tectonin beta-propeller repeat containing 2	NA
c104308_g1	c104308-g1	NA
c104308_g2	c104308-g2 (Transient receptor potential cation channel subfamily A member) - emapper OG	NA
c104308_g3	c104308-g3 (Transient receptor potential cation channel subfamily A member) - emapper OG	NA
c104308_g4	c104308-g4	NA
c104308_g5	c104308-g5	NA
c104309_g1	c104309-g1 TRAF4 (TNF receptor associated factor 4) - blastp	NA
c104310_g1	c104310-g1	NA
c104310_g2	c104310-g2	NA
c104311_g1	c104311-g1	NA
c104311_g2	c104311-g2	NA
c104311_g3	c104311-g3	NA
c104312_g1	c104312-g1 1-to-4 LRCH4,LRCH2,LRCH3,LRCH1 leucine rich repeats and calponin homology domain containing 4	NA
c104312_g2	c104312-g2	NA
c104312_g3	c104312-g3	NA
c104312_g4	c104312-g4	NA
c104313_g1	c104313-g1 1-to-1 NAXD NAD(P)HX dehydratase	NA
c104313_g2	c104313-g2	NA
c104313_g3	c101259-g2 2-to-4 ATP6V0A1,TCIRG1,ATP6V0A4,ATP6V0A2 ATPase H+ transporting V0 subunit a1	NA
c104314_g1	c104314-g1	NA
c104314_g10	c100752-g1 1-to-1 DNAH3 dynein axonemal heavy chain 3	NA
c104314_g11	c100752-g1 1-to-1 DNAH3 dynein axonemal heavy chain 3	NA
c104314_g2	c100752-g1 1-to-1 DNAH3 dynein axonemal heavy chain 3	NA
c104314_g3	c100752-g1 1-to-1 DNAH3 dynein axonemal heavy chain 3	NA
c104314_g4	c104314-g4 1-to-1 DNAH6 dynein axonemal heavy chain 6	NA
c104314_g5	c104314-g5	NA
c104314_g6	c100752-g1 1-to-1 DNAH3 dynein axonemal heavy chain 3	NA
c104314_g7	c104314-g7	NA
c104314_g8	c104314-g8	NA
c104314_g9	c100752-g1 1-to-1 DNAH3 dynein axonemal heavy chain 3	NA
c104315_g1	c104315-g1 TRIL (TLR4 interactor with leucine-rich repeats) - emapper OG	NA
c104316_g1	c104316-g1 (ADP-ribosylglycohydrolase) - emapper OG	NA
c104317_g1	c104317-g1	NA
c104318_g1	c102776-g1 TRIM2 (Inherit from KOG: listerin E3 ubiquitin protein ligase 1) - emapper OG	NA
c104319_g1	c104319-g1 1-to-2 SOS2,SOS1 SOS Ras/Rho guanine nucleotide exchange factor 2	NA
c104319_g2	c104319-g1 1-to-2 SOS2,SOS1 SOS Ras/Rho guanine nucleotide exchange factor 2	NA
c104320_g1	c104320-g1 (Inherit from opiNOG: carnitine) - emapper OG	NA
c104321_g1	c104321-g1	NA
c104321_g2	c104321-g2 1-to-2 KCNT2,KCNT1 potassium sodium-activated channel subfamily T member 2	NA
c104321_g3	c104321-g3	NA
c104321_g4	c104321-g4 1-to-2 KCNT2,KCNT1 potassium sodium-activated channel subfamily T member 2	NA
c104321_g5	c104321-g2 1-to-2 KCNT2,KCNT1 potassium sodium-activated channel subfamily T member 2	NA
c104322_g1	c104322-g1 1-to-2 ALAS2,ALAS1 5'-aminolevulinate synthase 2	NA
c104323_g1	c104323-g1 1-to-2 SYNJ2,SYNJ1 synaptojanin 2	NA
c104323_g2	c104323-g1 1-to-2 SYNJ2,SYNJ1 synaptojanin 2	NA
c104324_g1	c104324-g1 1-to-1 NOXO1 NADPH oxidase organizer 1	Sh3 and PX domain-containing family ortholog
c104325_g1	c104325-g1 8-to-2 SLC47A1,SLC47A2 solute carrier family 47 member 1	NA
c104325_g2	c104325-g2	NA
c104325_g3	c104325-g3	NA
c104325_g4	c104325-g4 6-to-2 SLC47A1,SLC47A2 solute carrier family 47 member 1	NA
c104325_g5	c104325-g4 6-to-2 SLC47A1,SLC47A2 solute carrier family 47 member 1	NA
c104326_g1	c104326-g1	NA
c104326_g2	c104326-g2 7-to-1 FREM3 FRAS1 related extracellular matrix 3	NA
c104327_g1	c104327-g1 1-to-1 WDR11 WD repeat domain 11	NA
c104328_g1	c104202-g1 FG06297.1 (phosphatase) - emapper OG	Ptpr family ortholog A
c104329_g1	c104329-g1	NA
c104329_g2	c104329-g2	NA
c104329_g3	c104329-g3	NA
c104329_g4	c104329-g4	NA
c104329_g5	c104329-g5	NA
c104330_g1	c104330-g1 TNN (collagen, type) - emapper OG	NA
c104331_g1	c100720-g2 PWP1 (PWP1 homolog, endonuclein) - blastp	NA
c104331_g2	c104331-g2	NA
c104331_g3	c104331-g3 1-to-2 PLA2G7,PAFAH2 phospholipase A2 group VII	NA
c104331_g4	c104331-g4	NA
c104332_g1	c104332-g1	NA
c104332_g2	c104332-g2	NA
c104332_g3	c104332-g3 (integrase core domain protein) - emapper OG	NA
c104332_g4	c104332-g4	NA
c104333_g1	c102213-g1 2-to-4 RAPGEFL1,RAPGEF5,RAPGEF4,RAPGEF3 Rap guanine nucleotide exchange factor like 1	NA
c104333_g2	c102213-g1 2-to-4 RAPGEFL1,RAPGEF5,RAPGEF4,RAPGEF3 Rap guanine nucleotide exchange factor like 1	NA
c104333_g3	c104333-g3	NA
c104334_g1	c104334-g1 5-to-1 ABCC4 ATP binding cassette subfamily C member 4	Abcc4
c104334_g2	c104334-g2 4-to-1 ABCC4 ATP binding cassette subfamily C member 4	NA
c104335_g1	c104335-g1	NA
c104335_g2	c104335-g2	NA
c104335_g3	c104335-g3	NA
c104335_g4	c104335-g4	NA
c104335_g5	c104335-g5	NA
c104335_g6	c104335-g6	NA
c104336_g1	c104336-g1 1-to-1 DHTKD1 dehydrogenase E1 and transketolase domain containing 1	NA
c104336_g2	c104336-g2 1-to-3 HOMER2,HOMER1,HOMER3 homer scaffolding protein 2	Homer
c104337_g1	c104337-g1 1-to-1 RFWD2 ring finger and WD repeat domain 2	NA
c104337_g2	c104337-g1 1-to-1 RFWD2 ring finger and WD repeat domain 2	NA
c104337_g3	c104337-g3	NA
c104338_g1	c104338-g1 FREM2 (FRAS1 related extracellular matrix protein 2) - blastp	NA
c104338_g2	c104338-g1 FREM2 (FRAS1 related extracellular matrix protein 2) - blastp	NA
c104339_g1	c104339-g1	NA
c104339_g2	c101492-g2	NA
c104339_g3	c104339-g3	NA
c104340_g1	c104340-g1	NA
c104340_g2	c104340-g2	NA
c104340_g3	c104340-g3	NA
c104340_g4	c104340-g4	NA
c104340_g5	c104340-g5	NA
c104340_g6	c104340-g6	NA
c104341_g1	c104341-g1 TM9SF2 (transmembrane 9 superfamily) - emapper OG	NA
c104342_g1	c104342-g1 5-to-1 KLHDC2 kelch domain containing 2	NA
c104343_g1	c104343-g1 1-to-4 ZNF333,ZNF669,ZNF510,ZNF358 zinc finger protein 333	NA
c104344_g1	c104344-g1 3-to-1 ITGB1 integrin subunit beta 1	ItgB B Integrin subunit beta
c104344_g2	c104344-g2	NA
c104345_g1	c104345-g1 6-to-1 HSPG2 heparan sulfate proteoglycan 2	NA
c104345_g2	c104345-g2 1-to-1 ALG3 ALG3, alpha-1,3- mannosyltransferase	NA
c104346_g1	c104346-g1	NA
c104346_g2	c104346-g2	NA
c104347_g1	c104347-g1 1-to-2 PIK3CB,PIK3CD phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit beta	NA
c104347_g2	c104347-g2	NA
c104348_g1	c104348-g1 1-to-1 C16orf62 chromosome 16 open reading frame 62	NA
c104349_g1	c104349-g1 1-to-1 SKIV2L2 Ski2 like RNA helicase 2	NA
c104349_g2	c104349-g2	NA
c104349_g3	c104349-g3 (Gamma-aminobutyric acid (GABA) B receptor) - emapper OG	Gabbr1/2 F Gamma-aminobutyric acid B receptor
c104349_g4	c104349-g4 1-to-1 SKIV2L2 Ski2 like RNA helicase 2	NA
c104349_g5	c104349-g1 1-to-1 SKIV2L2 Ski2 like RNA helicase 2	NA
c104350_g1	c104350-g1 1-to-1 CDC5L cell division cycle 5 like	NA
c104351_g1	c104351-g1	NA
c104351_g2	c104351-g2	NA
c104351_g3	c104351-g3	NA
c104351_g4	c104351-g4	NA
c104352_g1	c104352-g1 1-to-1 SREK1 splicing regulatory glutamic acid and lysine rich protein 1	NA
c104353_g1	c104353-g1 (Inherit from KOG: Patatin group) - emapper OG	NA
c104353_g2	c104353-g2	NA
c104354_g1	c104354-g1 1-to-3 SORBS3,SORBS2,SORBS1 sorbin and SH3 domain containing 3	NA
c104354_g2	c104354-g1 1-to-3 SORBS3,SORBS2,SORBS1 sorbin and SH3 domain containing 3	NA
c104355_g1	c104355-g1	NA
c104355_g2	c104355-g2	NA
c104355_g3	c101461-g1 (Inherit from KOG: NEDD4 binding protein) - emapper OG	NA
c104355_g4	c104355-g4 2-to-1 N4BP2 NEDD4 binding protein 2	NA
c104356_g1	c104356-g1 1-to-2 SEL1L,SEL1L2 SEL1L ERAD E3 ligase adaptor subunit	NA
c104357_g1	c104357-g1	NA
c104357_g2	c104357-g2 1-to-1 ARHGAP45 Rho GTPase activating protein 45	NA
c104358_g1	c104358-g1	NA
c104358_g2	c104358-g1	NA
c104358_g3	c104358-g1	NA
c104358_g4	c104358-g4 (Inherit from opiNOG: DSBA-like thioredoxin domain) - emapper OG	NA
c104359_g1	c104359-g1	NA
c104359_g2	c104359-g2	NA
c104360_g1	c104360-g1	NA
c104361_g1	c104361-g1 1-to-1 SUMF1 sulfatase modifying factor 1	NA
c104361_g2	c104361-g2 MLT-7 (Peroxidasin homolog) - emapper OG	Peroxidase family ortholog A
c104361_g3	c104361-g3	NA
c104362_g1	c104362-g1 7-to-1 FRRS1 ferric chelate reductase 1	NA
c104363_g1	c101521-g2 1-to-2 KIAA0319L,KIAA0319 KIAA0319 like	NA
c104364_g1	c104364-g1 5-to-3 IQSEC2,IQSEC3,IQSEC1 IQ motif and Sec7 domain 2	NA
c104364_g2	c104364-g2	NA
c104364_g3	c104364-g3	NA
c104364_g4	c104364-g4	NA
c104364_g5	c104364-g5	NA
c104365_g1	c104365-g1	NA
c104365_g2	c104365-g2	NA
c104365_g3	c104365-g3	NA
c104365_g4	c104365-g4 B4GALNT4 (beta-1,4-N-acetyl-galactosaminyl transferase 4) - blastp	NA
c104366_g1	c104366-g1	NA
c104366_g2	c104366-g2	NA
c104367_g1	c104367-g1 (Glutaminase) - emapper OG	NA
c104367_g2	c104367-g2 (Glutaminase) - emapper OG	NA
c104368_g1	c104368-g1	NA
c104368_g2	c104368-g2 (endothelin converting enzyme) - emapper OG	NA
c104368_g3	c104368-g3 (endothelin converting enzyme) - emapper OG	NA
c104368_g4	c104368-g4	NA
c104369_g1	c104369-g1	NA
c104369_g2	c104369-g2 1-to-1 MPP5 membrane palmitoylated protein 5	NA
c104369_g3	c104369-g3	NA
c104369_g4	c104369-g4	NA
c104369_g5	c104369-g5 1-to-3 PAK1,PAK2,PAK3 p21 (RAC1) activated kinase 1	NA
c104369_g6	c104369-g6 BMP2K (associated kinase) - emapper OG	NA
c104370_g1	c104370-g1 (protein kinase kinase kinase) - emapper OG	NA
c104370_g2	c104370-g2	NA
c104370_g3	c104370-g3 (protein kinase kinase kinase) - emapper OG	NA
c104370_g4	c104370-g4 1-to-1 FKBP15 FK506 binding protein 15	NA
c104370_g5	c104370-g5	NA
c104371_g1	c104371-g1	NA
c104372_g1	c104372-g1 CLIP1 (CAP-GLY domain containing linker protein) - emapper OG	NA
c104373_g1	c104373-g1 ACLY (ATP citrate lyase) - emapper OG	NA
c104374_g1	c104374-g1 3-to-2 TLN1,TLN2 talin 1	NA
c104374_g2	c104374-g2 1-to-1 WDR7 WD repeat domain 7	NA
c104374_g3	c104374-g3	NA
c104374_g4	c104374-g2 1-to-1 WDR7 WD repeat domain 7	NA
c104374_g5	c104374-g5	NA
c104375_g1	c101676-g4 1-to-1 MARF1 meiosis regulator and mRNA stability factor 1	NA
c104375_g2	c101676-g4 1-to-1 MARF1 meiosis regulator and mRNA stability factor 1	NA
c104376_g1	c104376-g1 (Reeler domain) - emapper OG	NA
c104377_g1	c104377-g1	NA
c104377_g2	c104377-g2	NA
c104378_g1	c104378-g1 1-to-1 XPO1 exportin 1	NA
c104378_g2	c104378-g1 1-to-1 XPO1 exportin 1	NA
c104379_g1	c104379-g1	NA
c104379_g2	c104379-g2	NA
c104380_g1	c104380-g1 1-to-1 EEA1 early endosome antigen 1	NA
c104380_g2	c104380-g2	NA
c104381_g1	c100961-g1	NA
c104382_g1	c104382-g1 GIT2 (G protein-coupled receptor kinase interacting ArfGAP) - emapper OG	NA
c104382_g2	c104382-g2 GIT2 (G protein-coupled receptor kinase interacting ArfGAP) - emapper OG	NA
c104383_g1	c104383-g1 1-to-2 ABL1,ABL2 ABL proto-oncogene 1, non-receptor tyrosine kinase	NA
c104384_g1	c104384-g1 GBA (Glucosidase, beta, acid) - emapper OG	NA
c104385_g1	c104385-g1 (Nidogen-like) - emapper OG	NA
c104386_g1	c104386-g1	NA
c104386_g2	c104386-g2	NA
c104386_g3	c104386-g3 (CAP-Gly domain) - emapper OG	NA
c104387_g1	c104387-g1	NA
c104387_g2	c104387-g2	NA
c104387_g3	c104387-g3	NA
c104387_g4	c104387-g4	NA
c104387_g5	c104387-g5	NA
